:START_ID,:END_ID,:TYPE
213,54011530,BELONGS_TO
214,54011569,BELONGS_TO
215,54011570,BELONGS_TO
216,54011575,BELONGS_TO
217,54011578,BELONGS_TO
218,54011595,BELONGS_TO
219,54011598,BELONGS_TO
220,54011602,BELONGS_TO
221,54011610,BELONGS_TO
222,54011683,BELONGS_TO
223,54011684,BELONGS_TO
224,54011694,BELONGS_TO
225,54011698,BELONGS_TO
226,54011699,BELONGS_TO
227,54011755,BELONGS_TO
228,54011768,BELONGS_TO
229,54011806,BELONGS_TO
230,54011818,BELONGS_TO
231,54011824,BELONGS_TO
232,54011842,BELONGS_TO
233,54011851,BELONGS_TO
234,54011872,BELONGS_TO
235,54011898,BELONGS_TO
236,54011900,BELONGS_TO
237,54011905,BELONGS_TO
238,54011926,BELONGS_TO
239,54011933,BELONGS_TO
240,54011945,BELONGS_TO
241,54011951,BELONGS_TO
242,54011953,BELONGS_TO
243,54011956,BELONGS_TO
244,54011966,BELONGS_TO
245,54011966,BELONGS_TO
246,54011989,BELONGS_TO
247,54012006,BELONGS_TO
248,54012014,BELONGS_TO
249,54012016,BELONGS_TO
250,54012024,BELONGS_TO
251,54012056,BELONGS_TO
252,54012058,BELONGS_TO
253,54012060,BELONGS_TO
254,54012067,BELONGS_TO
255,54012072,BELONGS_TO
256,54012081,BELONGS_TO
257,54012092,BELONGS_TO
258,54012108,BELONGS_TO
259,54012114,BELONGS_TO
260,54012117,BELONGS_TO
261,54012117,BELONGS_TO
262,54012123,BELONGS_TO
263,54012123,BELONGS_TO
264,54012123,BELONGS_TO
265,54012123,BELONGS_TO
266,54012133,BELONGS_TO
267,54012147,BELONGS_TO
268,54012181,BELONGS_TO
269,54012202,BELONGS_TO
270,54012206,BELONGS_TO
271,54012212,BELONGS_TO
272,54012220,BELONGS_TO
273,54012226,BELONGS_TO
274,54012269,BELONGS_TO
275,54012275,BELONGS_TO
276,54012281,BELONGS_TO
277,54012298,BELONGS_TO
278,54012314,BELONGS_TO
279,54012320,BELONGS_TO
280,54012324,BELONGS_TO
281,54012329,BELONGS_TO
282,54012354,BELONGS_TO
283,54012354,BELONGS_TO
284,54012355,BELONGS_TO
285,54012362,BELONGS_TO
286,54012377,BELONGS_TO
287,54012389,BELONGS_TO
288,54012417,BELONGS_TO
289,54012427,BELONGS_TO
290,54012441,BELONGS_TO
291,54012452,BELONGS_TO
292,54012460,BELONGS_TO
293,54012473,BELONGS_TO
294,54012473,BELONGS_TO
295,54012478,BELONGS_TO
296,54012548,BELONGS_TO
297,54012569,BELONGS_TO
298,54012572,BELONGS_TO
299,54012578,BELONGS_TO
